FECHA,NOMBRE_ALMACEN,SKU,MODELO,PARAMETROS,LAGS,CANTIDAD
2024-06-10,4 CAMINOS,T23C2139CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-10,4 CAMINOS,T23C2139CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-10,4 CAMINOS,T23C2139CH,XGBoost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,XGBoost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,XGBoost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0
2024-06-10,4 CAMINOS,T23C2139CH,AditivoModificado,4,4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,AditivoModificado,4,4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,AditivoModificado,4,4,0.0
2024-06-10,4 CAMINOS,T23C2139CH,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-10,4 CAMINOS,T23C2139CH,AditivoBaseline,6,4,0.0
2024-06-17,4 CAMINOS,T23C2139CH,AditivoBaseline,6,4,0.0
2024-06-24,4 CAMINOS,T23C2139CH,AditivoBaseline,6,4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,RandomForest,"{'max_depth': 7, 'n_estimators': 50}",4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,RandomForest,"{'max_depth': 7, 'n_estimators': 50}",4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,RandomForest,"{'max_depth': 7, 'n_estimators': 50}",4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.01}",4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.01}",4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.01}",4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,XGBoost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,XGBoost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,XGBoost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,AditivoModificado,4,4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,AditivoModificado,4,4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,AditivoModificado,4,4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-10,4 CAMINOS,T23C2139EG,AditivoBaseline,6,4,0.0
2024-06-17,4 CAMINOS,T23C2139EG,AditivoBaseline,6,4,0.0
2024-06-24,4 CAMINOS,T23C2139EG,AditivoBaseline,6,4,0.0
2024-06-10,4 CAMINOS,T23C2139GD,RandomForest,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-17,4 CAMINOS,T23C2139GD,RandomForest,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-24,4 CAMINOS,T23C2139GD,RandomForest,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-10,4 CAMINOS,T23C2139GD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-17,4 CAMINOS,T23C2139GD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-24,4 CAMINOS,T23C2139GD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 1.0}",4,0.0
2024-06-10,4 CAMINOS,T23C2139GD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-17,4 CAMINOS,T23C2139GD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-24,4 CAMINOS,T23C2139GD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-10,4 CAMINOS,T23C2139GD,AditivoModificado,4,4,1.0
2024-06-17,4 CAMINOS,T23C2139GD,AditivoModificado,4,4,1.0
2024-06-24,4 CAMINOS,T23C2139GD,AditivoModificado,4,4,1.0
2024-06-10,4 CAMINOS,T23C2139GD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-17,4 CAMINOS,T23C2139GD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-24,4 CAMINOS,T23C2139GD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-10,4 CAMINOS,T23C2139GD,AditivoBaseline,6,4,1.0
2024-06-17,4 CAMINOS,T23C2139GD,AditivoBaseline,6,4,1.0
2024-06-24,4 CAMINOS,T23C2139GD,AditivoBaseline,6,4,1.0
2024-06-10,4 CAMINOS,T23C2139MD,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-17,4 CAMINOS,T23C2139MD,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-24,4 CAMINOS,T23C2139MD,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-10,4 CAMINOS,T23C2139MD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.1}",4,0.0
2024-06-17,4 CAMINOS,T23C2139MD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.1}",4,0.0
2024-06-24,4 CAMINOS,T23C2139MD,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.1}",4,0.0
2024-06-10,4 CAMINOS,T23C2139MD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-17,4 CAMINOS,T23C2139MD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-24,4 CAMINOS,T23C2139MD,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-10,4 CAMINOS,T23C2139MD,AditivoModificado,4,4,1.0
2024-06-17,4 CAMINOS,T23C2139MD,AditivoModificado,4,4,1.0
2024-06-24,4 CAMINOS,T23C2139MD,AditivoModificado,4,4,1.0
2024-06-10,4 CAMINOS,T23C2139MD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-17,4 CAMINOS,T23C2139MD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-24,4 CAMINOS,T23C2139MD,Poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.0
2024-06-10,4 CAMINOS,T23C2139MD,AditivoBaseline,6,4,1.0
2024-06-17,4 CAMINOS,T23C2139MD,AditivoBaseline,6,4,1.0
2024-06-24,4 CAMINOS,T23C2139MD,AditivoBaseline,6,4,1.0
2024-06-10,4 CAMINOS,T6C01007CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,RandomForest,"{'max_depth': 3, 'n_estimators': 150}",4,0.0
2024-06-10,4 CAMINOS,T6C01007CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.5}",4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.5}",4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,Prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.5}",4,0.0
2024-06-10,4 CAMINOS,T6C01007CH,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,XGBoost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0
2024-06-10,4 CAMINOS,T6C01007CH,AditivoModificado,4,4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,AditivoModificado,4,4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,AditivoModificado,4,4,0.0
2024-06-10,4 CAMINOS,T6C01007CH,Poisson,"{'alpha': 1.0, 'max_iter': 250}",4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,Poisson,"{'alpha': 1.0, 'max_iter': 250}",4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,Poisson,"{'alpha': 1.0, 'max_iter': 250}",4,0.0
2024-06-10,4 CAMINOS,T6C01007CH,AditivoBaseline,6,4,0.0
2024-06-17,4 CAMINOS,T6C01007CH,AditivoBaseline,6,4,0.0
2024-06-24,4 CAMINOS,T6C01007CH,AditivoBaseline,6,4,0.0
