almacen,sku,best_model,best_model_params,lags,best_mae,xgboost,rf,prophet,poisson,aditivo_modificado,aditivo_baseline
4 CAMINOS,T23C2139CH,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.040331603775158535,0.0,0.0,0.0
4 CAMINOS,T23C2139EG,xgboost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0,0.0,0.0,0.3211591428044087,0.0,0.0,0.0
4 CAMINOS,T23C2139GD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.433675928442264,0.0,0.0,1.0
4 CAMINOS,T23C2139MD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3717943802670345,0.3333333333333333,0.6666666666666666,0.6666666666666666
4 CAMINOS,T6C01007CH,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.3464445254128286,0.0,0.0,0.0
4 CAMINOS,T6C01007EG,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.6530529517826648,0.0,0.0,0.0
4 CAMINOS,T6C01007GD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.5685195988364277,0.0,0.0,0.0
4 CAMINOS,T6C01007MD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.3433177863774866,0.0,0.0,0.0
4 CAMINOS,TA4D3027MD,prophet,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 1.0}",4,0.5297756335131384,4.666666666666667,4.0,0.5297756335131384,2.0,0.6666666666666666,1.3333333333333333
4 CAMINOS,TBAD3009MD,aditivo_modificado,{'num_weeks': 4},4,0.0,2.0,2.0,1.2819524779240699,2.0,0.0,0.0
APIZACO,T23C2139CH,poisson,"{'alpha': 10.0, 'max_iter': 250}",4,0.6666666666666666,1.6666666666666667,1.0,0.6697618701975755,0.6666666666666666,1.0,1.0
APIZACO,T23C2139EG,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.15871308343453489,0.0,0.0,0.0
APIZACO,T23C2139GD,xgboost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0,0.0,0.0,0.022364475948733503,0.0,0.0,0.0
APIZACO,T23C2139MD,rf,"{'max_depth': 3, 'n_estimators': 50}",5,0.0,0.3333333333333333,0.0,0.470382902466046,0.3333333333333333,0.6666666666666666,0.6666666666666666
APIZACO,T23P5C01MD,aditivo_modificado,{'num_weeks': 5},4,0.3333333333333333,1.0,1.0,0.7282570883395062,1.3333333333333333,0.3333333333333333,0.3333333333333333
APIZACO,T6C01007EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.13378496712496588,0.0,0.0,0.0
APIZACO,T6C01007GD,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.06155022084784853,0.0,0.0,0.0
APIZACO,T6C01007MD,xgboost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0,0.0,0.0,0.05766516334164371,0.0,0.0,0.0
APIZACO,TBAD3008MD,xgboost,"{'max_depth': 3, 'n_estimators': 150}",4,0.0,0.0,0.0,0.8494695682074602,2.0,0.0,0.0
APIZACO,TBAD3009GD,aditivo_modificado,{'num_weeks': 4},4,0.0,4.0,2.0,0.6921104824580357,2.0,0.0,0.0
ARAGON,T23C2139CH,xgboost,"{'max_depth': 7, 'n_estimators': 150}",4,0.0,0.0,0.0,0.059197745239645355,0.0,0.0,0.0
ARAGON,T23C2139EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.20083883277545003,0.0,0.0,1.0
ARAGON,T23C2139GD,xgboost,"{'max_depth': 10, 'n_estimators': 100}",4,0.0,0.0,0.0,0.18191258294785392,0.0,0.0,1.0
ARAGON,T23C2139MD,xgboost,"{'max_depth': 10, 'n_estimators': 50}",4,0.0,0.0,0.0,0.03361829970298542,0.0,0.0,0.0
ARAGON,T29C1874MD,xgboost,"{'max_depth': 5, 'n_estimators': 50}",4,0.0,0.0,0.0,0.5538364382699613,0.0,0.0,0.0
ARAGON,T30C2308MD,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.3937926097701337,0.0,0.0,0.0
ARAGON,T6C01007EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.14950779300847442,0.0,0.0,0.0
ARAGON,T6C01007GD,xgboost,"{'max_depth': 5, 'n_estimators': 50}",4,0.0,0.0,0.0,0.2399407606075087,0.0,0.0,0.0
ARAGON,T6C01007MD,xgboost,"{'max_depth': 7, 'n_estimators': 100}",4,0.0,0.0,0.0,0.20788095716557065,0.0,0.0,0.0
ARAGON,TBAD3008GD,xgboost,"{'max_depth': 3, 'n_estimators': 150}",4,0.0,0.0,0.0,0.2492606291641056,1.0,0.0,0.0
ARCO NORTE,T23C2139CH,xgboost,"{'max_depth': 10, 'n_estimators': 150}",4,0.0,0.0,0.0,0.03253470740128423,0.0,0.0,0.0
ARCO NORTE,T23C2139EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4046898147933668,0.3333333333333333,0.6666666666666666,0.6666666666666666
ARCO NORTE,T23C2139GD,xgboost,"{'max_depth': 10, 'n_estimators': 50}",4,0.0,0.0,0.0,0.4352680175336961,0.0,0.0,0.0
ARCO NORTE,T23C2139MD,prophet,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.5}",7,0.3306649744471633,0.3333333333333333,0.3333333333333333,0.3306649744471633,0.3333333333333333,0.6666666666666666,0.6666666666666666
ARCO NORTE,T29C1874GD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.044761164726861535,0.0,0.0,0.0
ARCO NORTE,T29C1874MD,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34847187174735317,0.3333333333333333,0.6666666666666666,0.6666666666666666
ARCO NORTE,T6C01007EG,xgboost,"{'max_depth': 7, 'n_estimators': 100}",4,0.0,0.0,0.0,0.0004159688395474096,0.0,0.0,0.0
ARCO NORTE,T6C01007GD,xgboost,"{'max_depth': 7, 'n_estimators': 150}",4,0.0,0.0,0.0,0.006716631884574578,0.0,0.0,0.0
ARCO NORTE,T6C01007MD,xgboost,"{'max_depth': 3, 'n_estimators': 150}",4,0.0,0.0,0.0,0.021453001034528473,0.0,0.0,0.0
ARCO NORTE,TBAD3008GD,aditivo_modificado,{'num_weeks': 4},4,0.0,1.0,1.0,0.5580403262179601,1.0,0.0,0.0
ATLACOMULCO,T23C2139CH,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.04883559957231296,0.0,0.0,0.0
ATLACOMULCO,T23C2139EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.02545667727852968,0.0,0.0,0.0
ATLACOMULCO,T23C2139GD,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.0036434738977704282,0.0,0.0,0.0
ATLACOMULCO,T23C2139MD,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.2973392803797066,0.0,1.0,1.0
ATLACOMULCO,T29C1874MD,xgboost,"{'max_depth': 7, 'n_estimators': 150}",4,0.0,0.0,0.0,0.2620312378483797,0.0,0.0,1.0
ATLACOMULCO,T6C01007CH,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.013679790413182185,0.0,0.0,0.0
ATLACOMULCO,T6C01007EG,xgboost,"{'max_depth': 7, 'n_estimators': 150}",4,0.0,0.0,0.0,0.08862710227362547,0.0,0.0,0.0
ATLACOMULCO,T6C01007GD,xgboost,"{'max_depth': 7, 'n_estimators': 50}",4,0.0,0.0,0.0,0.10136168520911533,0.0,0.0,0.0
ATLACOMULCO,T6C01007MD,xgboost,"{'max_depth': 3, 'n_estimators': 50}",4,0.0,0.0,0.0,0.0775380542242139,0.0,0.0,0.0
ATLACOMULCO,TBAD3009MD,xgboost,"{'max_depth': 5, 'n_estimators': 100}",4,0.0,0.0,0.0,0.20324948886378214,0.0,0.0,0.0
CAMINERO INSURGENTES,T23C2139CH,xgboost,"{'max_depth': 5, 'n_estimators': 100}",4,0.0,0.0,0.0,0.34163146213578277,0.0,0.0,0.0
CAMINERO INSURGENTES,T23C2139EG,rf,"{'max_depth': 3, 'n_estimators': 50}",4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.567457422637617,0.3333333333333333,0.6666666666666666,0.6666666666666666
CAMINERO INSURGENTES,T23C2139GD,aditivo_modificado,{'num_weeks': 4},4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.40741789021404157,0.6666666666666666,0.3333333333333333,0.3333333333333333
CAMINERO INSURGENTES,T23C2139MD,aditivo_modificado,{'num_weeks': 4},4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4680258452387227,0.6666666666666666,0.3333333333333333,0.3333333333333333
CAMINERO INSURGENTES,T6C01007EG,xgboost,"{'max_depth': 5, 'n_estimators': 150}",4,0.0,0.0,0.0,0.03507709662890605,0.0,0.0,0.0
CAMINERO INSURGENTES,T6C01007GD,xgboost,"{'max_depth': 7, 'n_estimators': 50}",4,0.0,0.0,0.0,0.09320807605890642,0.0,0.0,0.0
