FECHA,NOMBRE_ALMACEN,SKU,CANTIDAD
2022-01-03,4 CAMINOS,T23C2139CH,0.0
2022-01-10,4 CAMINOS,T23C2139CH,0.0
2022-01-17,4 CAMINOS,T23C2139CH,0.0
2022-01-24,4 CAMINOS,T23C2139CH,0.0
2022-01-31,4 CAMINOS,T23C2139CH,0.0
2022-02-07,4 CAMINOS,T23C2139CH,0.0
2022-02-14,4 CAMINOS,T23C2139CH,0.0
2022-02-21,4 CAMINOS,T23C2139CH,0.0
2022-02-28,4 CAMINOS,T23C2139CH,0.0
2022-03-07,4 CAMINOS,T23C2139CH,0.0
2022-03-14,4 CAMINOS,T23C2139CH,0.0
2022-03-21,4 CAMINOS,T23C2139CH,0.0
2022-03-28,4 CAMINOS,T23C2139CH,1.0
2022-04-04,4 CAMINOS,T23C2139CH,0.0
2022-04-11,4 CAMINOS,T23C2139CH,0.0
2022-04-18,4 CAMINOS,T23C2139CH,0.0
2022-04-25,4 CAMINOS,T23C2139CH,0.0
2022-05-02,4 CAMINOS,T23C2139CH,2.0
2022-05-09,4 CAMINOS,T23C2139CH,0.0
2022-05-16,4 CAMINOS,T23C2139CH,1.0
2022-05-23,4 CAMINOS,T23C2139CH,0.0
2022-05-30,4 CAMINOS,T23C2139CH,2.0
2022-06-06,4 CAMINOS,T23C2139CH,0.0
2022-06-13,4 CAMINOS,T23C2139CH,3.0
2022-06-20,4 CAMINOS,T23C2139CH,0.0
2022-06-27,4 CAMINOS,T23C2139CH,1.0
2022-07-04,4 CAMINOS,T23C2139CH,1.0
2022-07-11,4 CAMINOS,T23C2139CH,1.0
2022-07-18,4 CAMINOS,T23C2139CH,5.0
2022-07-25,4 CAMINOS,T23C2139CH,0.0
2022-08-01,4 CAMINOS,T23C2139CH,1.0
2022-08-08,4 CAMINOS,T23C2139CH,0.0
2022-08-15,4 CAMINOS,T23C2139CH,0.0
2022-08-22,4 CAMINOS,T23C2139CH,0.0
2022-08-29,4 CAMINOS,T23C2139CH,1.0
2022-09-05,4 CAMINOS,T23C2139CH,0.0
2022-09-12,4 CAMINOS,T23C2139CH,0.0
2022-09-19,4 CAMINOS,T23C2139CH,0.0
2022-09-26,4 CAMINOS,T23C2139CH,0.0
2022-10-03,4 CAMINOS,T23C2139CH,0.0
2022-10-10,4 CAMINOS,T23C2139CH,0.0
2022-10-17,4 CAMINOS,T23C2139CH,0.0
2022-10-24,4 CAMINOS,T23C2139CH,0.0
2022-10-31,4 CAMINOS,T23C2139CH,0.0
2022-11-07,4 CAMINOS,T23C2139CH,0.0
2022-11-14,4 CAMINOS,T23C2139CH,1.0
2022-11-21,4 CAMINOS,T23C2139CH,0.0
2022-11-28,4 CAMINOS,T23C2139CH,0.0
2022-12-05,4 CAMINOS,T23C2139CH,1.0
2022-12-12,4 CAMINOS,T23C2139CH,1.0
2022-12-19,4 CAMINOS,T23C2139CH,0.0
2022-12-26,4 CAMINOS,T23C2139CH,0.0
2023-01-02,4 CAMINOS,T23C2139CH,0.0
2023-01-09,4 CAMINOS,T23C2139CH,0.0
2023-01-16,4 CAMINOS,T23C2139CH,0.0
2023-01-23,4 CAMINOS,T23C2139CH,0.0
2023-01-30,4 CAMINOS,T23C2139CH,0.0
2023-02-06,4 CAMINOS,T23C2139CH,0.0
2023-02-13,4 CAMINOS,T23C2139CH,0.0
2023-02-20,4 CAMINOS,T23C2139CH,1.0
2023-02-27,4 CAMINOS,T23C2139CH,1.0
2023-03-06,4 CAMINOS,T23C2139CH,2.0
2023-03-13,4 CAMINOS,T23C2139CH,1.0
2023-03-20,4 CAMINOS,T23C2139CH,1.0
2023-03-27,4 CAMINOS,T23C2139CH,1.0
2023-04-03,4 CAMINOS,T23C2139CH,0.0
2023-04-10,4 CAMINOS,T23C2139CH,0.0
2023-04-17,4 CAMINOS,T23C2139CH,0.0
2023-04-24,4 CAMINOS,T23C2139CH,0.0
2023-05-01,4 CAMINOS,T23C2139CH,1.0
2023-05-08,4 CAMINOS,T23C2139CH,0.0
2023-05-15,4 CAMINOS,T23C2139CH,1.0
2023-05-22,4 CAMINOS,T23C2139CH,1.0
2023-05-29,4 CAMINOS,T23C2139CH,1.0
2023-06-05,4 CAMINOS,T23C2139CH,0.0
2023-06-12,4 CAMINOS,T23C2139CH,0.0
2023-06-19,4 CAMINOS,T23C2139CH,0.0
2023-06-26,4 CAMINOS,T23C2139CH,2.0
2023-07-03,4 CAMINOS,T23C2139CH,2.0
2023-07-10,4 CAMINOS,T23C2139CH,0.0
2023-07-17,4 CAMINOS,T23C2139CH,0.0
2023-07-24,4 CAMINOS,T23C2139CH,0.0
2023-07-31,4 CAMINOS,T23C2139CH,1.0
2023-08-07,4 CAMINOS,T23C2139CH,0.0
2023-08-14,4 CAMINOS,T23C2139CH,0.0
2023-08-21,4 CAMINOS,T23C2139CH,0.0
2023-08-28,4 CAMINOS,T23C2139CH,1.0
2023-09-04,4 CAMINOS,T23C2139CH,0.0
2023-09-11,4 CAMINOS,T23C2139CH,2.0
2023-09-18,4 CAMINOS,T23C2139CH,0.0
2023-09-25,4 CAMINOS,T23C2139CH,0.0
2023-10-02,4 CAMINOS,T23C2139CH,0.0
2023-10-09,4 CAMINOS,T23C2139CH,0.0
2023-10-16,4 CAMINOS,T23C2139CH,0.0
2023-10-23,4 CAMINOS,T23C2139CH,0.0
2023-10-30,4 CAMINOS,T23C2139CH,1.0
